event_week,feature_count_compared,feature_drift_mean_abs,feature_drift_max_abs
2025-11-24,140,7.0637305635373036,454.704350604352
2025-12-01,279,3604341573.0449433,1005611297618.5156
2025-12-08,383,8655730654.519585,2309533541873.4614
2025-12-15,487,9364486197.489815,2309533541873.462
2025-12-22,591,11789055196.372904,2406826842624.9844
2025-12-29,695,15538061141.102505,4557048077872.447
2026-01-05,696,37767963922.43835,7203853643176.854
2026-01-12,697,48096344617.2459,12390743918633.791
2026-01-19,697,57728024940.05928,19787342186638.617
2026-01-26,697,53645664499.31618,19787342186639.445
2026-02-02,697,25578708839.51897,8663252311623.425
2026-02-09,697,29226413324.22374,9823448211833.28
2026-02-16,696,36099781342.4873,10753173523459.002
2026-02-23,695,33218565624.56135,9756125005719.658
2026-03-02,695,29378863022.6033,5617345511346.465
2026-03-09,695,44338346285.85386,6561194500933.863
2026-03-16,695,49859015399.14659,7939149756724.637
2026-03-23,695,50271170013.393364,10239665615101.574
2026-03-30,695,45605530846.384544,12064463403504.152
2026-04-06,695,53129902047.86918,12517936003372.246
2026-04-13,696,52122473401.203125,19780460585186.457
2026-04-20,696,29817448738.10983,8788515753223.863
2026-04-27,696,21948517500.10262,4456953794177.461
2026-05-04,592,12233737019.932081,2974100625816.162
