test_week,train_start_week,train_end_week,train_rows,test_rows,model_used,positive_rate_test,roc_auc,pr_auc,precision_at_500,brier_score,ece_10
2025-12-22,2025-11-17,2025-12-15,8426,3830,lightgbm,0.2600522193211488,0.7913743895837407,0.6695544458689289,0.79,0.2600517809976113,0.26005182053822634
2025-12-29,2025-11-17,2025-12-22,12256,4569,lightgbm,0.29349967170059094,1.0,1.0,1.0,4.4578790456490245e-13,4.887537878163917e-07
2026-01-05,2025-11-17,2025-12-29,16825,4962,lightgbm,0.29000403063280933,0.6925585998255877,0.6628843290215675,1.0,0.18272561062925355,0.19802353862270036
2026-01-12,2025-11-17,2026-01-05,21787,5478,lightgbm,0.27053669222343923,0.28478478478478475,0.20658599993077434,0.0,0.2705366060642068,0.2705368848079027
2026-01-19,2025-11-17,2026-01-12,27265,5862,lightgbm,0.23797338792221084,0.5432245868347171,0.619994086006138,1.0,0.23797299683772835,0.23797319109902842
2026-01-26,2025-11-17,2026-01-19,33127,6194,lightgbm,0.2818856958346787,1.0,1.0,1.0,2.6149008446251676e-12,9.910317817989258e-07
2026-02-02,2025-11-17,2026-01-26,39321,6376,lightgbm,0.3337515683814304,1.0,1.0000000000000002,1.0,0.3335475783331072,0.3336495951412711
2026-02-09,2025-11-17,2026-02-02,45697,6237,lightgbm,0.36075036075036077,1.0,0.9999999999999999,1.0,2.8113287314026008e-14,1.137182290523489e-07
2026-02-16,2025-11-17,2026-02-09,51934,5901,lightgbm,0.3963734960176241,0.727548989271823,0.7414148021826753,1.0,0.3963734724739121,0.3963734733155782
2026-02-23,2025-11-17,2026-02-16,57835,5640,lightgbm,0.38971631205673757,0.8584315993780199,0.8397481029550055,1.0,0.17424717841243126,0.1543776996403692
2026-03-02,2025-11-17,2026-02-23,63475,5475,lightgbm,0.348675799086758,0.871152365319749,0.832526643210473,1.0,0.13598858449836324,0.08059050443753298
2026-03-09,2025-11-17,2026-03-02,68950,5524,lightgbm,0.32385952208544533,0.8771251953968285,0.830163945158851,1.0,0.12446472994241879,0.06706013218862256
2026-03-16,2025-11-17,2026-03-09,74474,5741,lightgbm,0.28792893224176974,0.8827607516666015,0.8166483273770758,1.0,0.1162462112090102,0.05694158932559368
2026-03-23,2025-11-17,2026-03-16,80215,5253,lightgbm,0.31467732724157627,0.8782598978288633,0.8239495548836293,1.0,0.12286642546419733,0.05812499254559145
2026-03-30,2025-11-17,2026-03-23,85468,4477,lightgbm,0.4272950636587,0.7715993820097812,0.7704709161470793,1.0,0.4452027020434781,0.45538317007691487
2026-04-06,2025-11-17,2026-03-30,89945,16977,lightgbm,0.12263650821699947,0.9996776990647629,0.9979741845207382,1.0,0.035964295343476574,0.03708387252347317
2026-04-13,2025-11-17,2026-04-06,106922,15941,lightgbm,0.13644062480396463,0.9946480333856027,0.9610196102039519,1.0,0.024329655650763584,0.02434125889585732
2026-04-20,2025-11-17,2026-04-13,122863,14895,lightgbm,0.10191339375629406,1.0,1.0,1.0,0.006857577080534764,0.012177111884967617
2026-04-27,2025-11-17,2026-04-20,137758,13766,lightgbm,0.02825802702310039,1.0,1.0000000000000002,0.778,0.053791135587996065,0.18964413498229288
2026-05-04,2025-11-17,2026-04-27,151524,13377,lightgbm,0.0,,,0.0,0.9982117566039772,0.9991046173449907
